ID,Long,Lat,LTA_CHIRPS_mmpa,LTA_PET_mm,Aridity,NDVI,SM10_m3m3,Obs_LTA_recharge_mmpa,LMM,RF,RK_RF,QRF_lower_quant_05,QRF_median,QRF_upper_quant_95
1,4.48,8.49,1195.39,1667.14,0.7,0.53,0.33,253.0,179.74,189.06,210.84,92.0,200.0,491.0
2,30.09,-20.27,527.6,2043.87,0.28,0.43,0.2,22.0,23.66,23.44,21.09,11.0,22.0,60.0
3,32.96,0.46,1358.89,1595.73,0.85,0.74,0.32,245.0,148.88,221.4,237.82,87.0,245.0,941.0
4,39.82,13.54,484.18,2195.6,0.29,0.3,0.23,185.0,70.81,42.06,55.72,12.0,50.6,185.0
5,2.3,6.5,1153.04,1572.6,0.73,0.63,0.32,120.0,161.53,169.36,188.22,63.0,148.0,491.0
6,34.45,2.45,717.91,1985.0,0.38,0.41,0.25,30.0,46.65,73.53,58.65,19.4,50.0,167.0
7,25.69,-25.12,457.73,2223.44,0.21,0.37,0.21,11.0,13.0,13.09,12.41,4.5,12.0,48.0
8,24.7,-24.53,415.08,2610.11,0.14,0.3,0.2,4.0,6.32,5.16,4.21,0.5,4.0,25.0
9,29.56,-23.67,471.37,1909.6,0.36,0.36,0.21,48.0,24.87,28.64,26.41,8.0,22.0,95.0
10,25.98,-32.71,443.12,1831.94,0.27,0.45,0.23,4.5,11.41,34.81,23.39,4.5,13.0,80.0
11,34.7,-4.6,697.33,1908.13,0.36,0.4,0.22,25.0,29.82,40.14,33.71,13.0,33.0,95.0
12,30.84,13.37,306.29,2920.36,0.1,0.19,0.18,6.0,7.44,12.33,10.03,3.2,10.8,50.81
13,33.57,-13.6,868.54,1756.86,0.49,0.46,0.26,114.0,88.35,101.08,110.02,48.0,114.0,198.1
15,31.3,27.26,2.36,2791.35,0.0,0.25,0.14,1.5,1.7,1.43,1.57,0.36,1.5,10.8
16,2.5,13.5,450.15,2960.57,0.15,0.18,0.2,20.0,22.76,28.43,25.74,9.0,24.0,136.0
17,29.81,-0.66,1063.22,1472.5,0.7,0.6,0.29,104.0,82.15,69.65,53.92,17.0,114.0,420.0
18,26.65,-22.42,422.03,2179.73,0.19,0.39,0.2,4.0,6.71,11.42,9.94,4.0,8.0,29.0
19,35.7,-5.99,615.53,2004.25,0.29,0.38,0.21,16.0,21.75,29.16,23.04,11.0,22.0,95.0
20,30.75,-20.75,541.55,1966.47,0.33,0.44,0.2,22.0,27.95,27.55,25.92,12.0,22.0,92.0
21,11.0,13.25,331.87,2881.14,0.11,0.21,0.19,44.0,31.89,14.72,25.54,3.2,14.0,136.0
22,25.67,-25.15,456.73,2217.44,0.21,0.36,0.21,18.0,13.0,13.09,12.41,4.5,13.0,48.0
24,-9.02,30.44,216.08,2110.56,0.11,0.27,0.2,14.0,14.58,8.99,13.21,0.5,10.0,29.0
25,25.0,-18.88,516.36,2563.07,0.2,0.45,0.21,8.0,9.74,21.0,19.05,4.5,15.0,48.0
26,29.97,27.74,1.93,2675.24,0.0,0.11,0.15,1.3,0.73,1.04,1.12,0.2,1.05,2.0
27,32.79,2.05,1335.12,1871.33,0.72,0.65,0.34,200.0,134.74,188.62,196.8,87.0,200.0,491.0
30,28.78,-14.47,901.33,2019.62,0.44,0.49,0.25,80.0,72.88,59.36,62.57,25.0,80.0,160.0
31,26.69,-29.57,578.11,1978.81,0.3,0.33,0.23,13.0,17.75,29.93,23.15,12.0,37.0,185.0
32,30.7,-0.08,979.21,1527.06,0.63,0.7,0.27,17.0,47.68,62.23,37.39,17.0,63.0,235.0
33,24.93,-24.03,390.39,2571.0,0.14,0.31,0.2,5.0,5.38,6.15,4.87,1.4,5.0,29.0
34,33.8,15.9,168.52,3147.07,0.05,0.13,0.18,0.6,1.95,3.14,2.02,0.2,3.0,24.0
35,-16.31,15.99,259.62,2657.87,0.1,0.22,0.19,10.8,11.09,11.03,12.07,3.0,10.8,44.0
36,2.06,13.26,507.98,2907.25,0.18,0.2,0.21,13.0,23.81,24.53,18.69,8.95,20.0,136.0
37,-0.68,14.19,404.2,2910.87,0.15,0.19,0.2,136.0,57.34,24.34,46.98,4.97,24.0,136.0
38,25.02,-24.1,391.92,2547.0,0.15,0.31,0.2,11.0,5.63,6.51,5.36,1.4,9.0,29.0
39,-1.28,10.2,973.49,2170.14,0.46,0.45,0.27,82.0,83.61,100.21,88.57,51.0,94.0,221.0
41,10.5,33.3,159.54,2364.74,0.08,0.14,0.21,2.0,2.01,3.24,2.63,0.6,3.0,22.0
42,33.58,1.74,1369.26,1926.43,0.67,0.58,0.32,147.0,136.32,170.56,163.82,51.0,147.0,491.0
43,10.45,12.81,410.95,2760.88,0.16,0.29,0.2,14.0,39.5,16.43,30.91,1.4,14.0,136.0
44,1.75,9.75,1190.74,1974.79,0.59,0.49,0.29,147.0,104.56,109.13,109.69,32.0,147.0,266.0
45,22.58,-32.35,258.57,2208.53,0.11,0.21,0.21,11.8,11.12,5.88,5.16,2.0,11.8,44.0
46,19.33,-33.16,499.15,1865.72,0.21,0.37,0.26,48.0,46.5,50.28,72.52,9.6,48.0,185.0
47,20.5,-19.6,407.72,2566.57,0.18,0.36,0.19,11.5,8.28,10.71,9.56,1.4,11.5,55.0
48,15.3,-4.5,1424.68,1276.29,1.11,0.54,0.36,420.0,255.51,248.73,310.22,87.0,251.0,941.0
49,43.1,11.45,122.5,2649.87,0.06,0.11,0.18,5.0,6.28,1.66,1.81,0.36,3.6,24.0
51,-0.33,5.83,1246.97,1459.36,0.8,0.7,0.35,125.0,122.37,181.4,151.31,87.0,148.0,941.0
52,-0.86,10.79,961.02,2257.21,0.43,0.39,0.27,71.0,84.16,84.9,76.49,32.0,77.0,221.0
53,-3.02,16.7,169.89,3176.71,0.06,0.16,0.18,25.0,7.25,5.97,7.03,0.98,7.5,25.0
54,17.7,-19.7,476.05,2353.93,0.23,0.43,0.21,20.0,24.17,21.28,27.55,6.6,20.0,48.0
55,19.8,-25.8,169.82,2568.31,0.08,0.2,0.18,4.5,4.88,4.13,4.01,0.62,4.5,25.0
56,19.58,-29.75,121.18,2506.94,0.07,0.14,0.19,3.0,2.58,2.17,1.74,0.6,3.0,22.0
57,17.79,-30.29,200.16,2323.12,0.07,0.25,0.2,0.62,2.22,3.3,1.62,0.5,3.0,25.0
58,26.5,-26.0,567.58,2058.25,0.3,0.38,0.24,54.0,30.85,42.79,45.06,13.0,48.0,185.0
59,31.26,-28.27,818.64,1652.59,0.53,0.48,0.26,92.0,65.71,62.12,50.7,32.0,92.0,221.0
60,18.48,-32.2,280.87,2059.94,0.13,0.3,0.2,3.5,9.37,6.4,5.18,0.5,4.0,28.0
61,23.5,-27.44,382.28,2349.56,0.19,0.29,0.21,9.0,12.22,15.55,16.79,4.0,9.6,50.6
62,22.83,-27.24,298.51,2517.41,0.14,0.26,0.2,29.0,11.81,8.21,10.68,1.05,13.0,55.0
63,19.24,-33.28,564.63,1854.12,0.25,0.42,0.26,156.0,63.74,47.57,57.98,13.0,92.0,185.0
64,20.53,-33.65,300.23,2030.76,0.14,0.22,0.23,13.0,18.58,10.9,10.23,4.5,13.0,60.0
65,10.34,12.68,432.76,2732.86,0.17,0.32,0.2,130.0,44.87,26.47,51.5,4.0,22.0,136.0
66,30.7,-18.42,695.59,1984.25,0.36,0.41,0.22,95.0,59.08,39.57,53.19,15.0,43.0,100.0
67,28.23,-19.83,536.46,2177.81,0.26,0.47,0.2,22.0,19.66,22.36,23.15,4.5,22.0,54.0
68,1.31,6.48,999.44,1543.21,0.66,0.64,0.33,63.0,101.44,112.33,99.71,17.0,92.0,253.0
69,38.84,8.94,1053.45,1715.73,0.59,0.44,0.3,198.0,129.52,131.72,166.84,32.0,148.0,266.0
70,-0.86,10.33,974.05,2183.21,0.47,0.43,0.27,130.0,84.75,108.79,101.53,51.0,100.0,266.0
