"Recharge_mmpa","LTA_P_mmpa","LTA_WD_days","LTA_PET_mm","Aridity","NDVI","Aquifer_group","Soil_group","Landcover_NOAA","Landcover_GlobCover","Landcover","DEM","SM10_m3m3","SM10_kgm2","Lat","Long","ID"
253,1234.7433557,106.02566417,1265,0.97742591034,0.5488991,"Basement","LX",6,130,"shrubland",360,0.31794244,23.815275,8.49,4.48,1
22,555.87667519,67.369998287,1386.0300279,0.40344206053,0.41753793,"Basement","AC",8,30,"grassland",1039,0.2104009,17.259396,-20.27,30.09,2
245,1376.7166878,192.22332918,1337.440024,1.029574919,0.68794477,"Basement","NT",15,30,"forest",1125,0.3129397,26.11455,0.46,32.96,3
185,518.19667581,59.429665377,1590.6100287,0.32618771632,0.26855856,"Sedimentary","LP",8,200,"sparse",1657,0.22938363,19.13214,13.54,39.82,4
120,1344.5800243,139.17133057,1298.693353,1.0388571535,0.59388196,"Sedimentary","NT",15,30,"cropland",26,0.33035806,25.831575,6.5,2.3,5
30,958.50334964,136.2569969,1632.0033589,0.58749120827,0.42237392,"Basement","CM",8,110,"sparse",1206,0.24660298,23.200327,2.45,34.45,6
11,477.64334037,55.309332066,1393.1033608,0.34525067183,0.36817747,"Sedimentary","LP",16,30,"shrubland",1118,0.20946209,17.749134,-25.12,25.69,7
4,387.3833393,53.912665512,1390.9833596,0.28031091256,0.29590562,"Sedimentary","AR",16,140,"urban",1145,0.20346643,13.509513,-24.53,24.7,8
48,556.60667734,69.606998609,1307.8333577,0.4283401802,0.3761473,"Basement","CM",16,30,"shrubland",1157,0.20692775,18.647251,-23.67,29.56,9
4.5,527.19334284,85.156998078,1481.3166917,0.35730431775,0.42776838,"Sedimentary","RG",16,30,"cropland",925,0.23128791,18.615171,-32.71,25.98,10
25,661.80334524,115.41199749,1370.4366905,0.48399141363,0.39464754,"Basement","CM",16,140,"grassland",1524,0.22265519,18.781052,-4.6,34.7,11
6,296.09333796,33.943665853,1905.6767051,0.15558781051,0.18537872,"Unconsolidated","AR",16,140,"grassland",492,0.18347591,11.779277,13.37,30.84,12
114,824.98334967,79.028331571,1347.7933524,0.61494195854,0.4616577,"Basement","LX",8,130,"shrubland",1145,0.25629315,26.723202,-13.6,33.57,13
0.1,20.393333501,0.29600000133,2204.8233721,0.0092488144932,0.18867132,"Unconsolidated","FL",12,200,"sparse",243,0.14169374,8.909414,26,32.8,14
1.5,19.966666932,1.0689999698,2155.0900366,0.0092674369776,0.19885221,"Unconsolidated","AR",12,200,"sparse",188,0.14337873,9.200012,27.26,31.3,15
20,566.36334235,52.375998788,2256.1300327,0.25131208797,0.18420137,"Sedimentary","AR",15,140,"shrubland",244,0.21034749,14.315029,13.5,2.5,16
104,1012.0400177,183.77599622,1122.703351,0.90175832435,0.4106594,"Sedimentary","AR",1,30,"cropland",1304,0.28963068,31.867235,-0.66,29.81,17
