ID,Lon,Lat,Observations,RF,RF (zeros),RK RF,LMM,Rech_obs/P,Rech_RF/P,Rech_RF_RK/P,Rech_LMM/P
1,4.48,8.49,253.0,184.83311462402344,184.8045654296875,201.9753875732422,139.1302490234375,0.20490087987278086,0.14969354868019352,0.1635768167051512,0.11267948791233776
2,30.09,-20.27,22.0,21.529298782348633,22.0587158203125,21.56215476989746,25.397594451904297,0.03957712381524255,0.038730351071107394,0.03878945768416612,0.04568926091965153
3,32.96,0.46,245.0,152.43211364746094,170.8576202392578,161.2718048095703,133.1932830810547,0.1779596355380214,0.11072148322037717,0.1171423330876329,0.09674705352333471
4,39.82,13.54,185.0,43.584083557128906,54.9896240234375,60.65827178955078,63.007080078125,0.3570073075262864,0.08410722336070964,0.11705646643667686,0.12158912439883526
5,2.3,6.5,120.0,174.62176513671875,178.95034790039062,179.56631469726562,125.44784545898438,0.08924719825617894,0.12987086077500545,0.1335482540659857,0.0932989061207373
6,34.45,2.45,30.0,79.14473724365234,81.53044891357422,71.66239929199219,55.56416702270508,0.0312987951594197,0.08257116396450567,0.07476489186908689,0.05796971606158098
7,25.69,-25.12,11.0,15.12320327758789,14.589997291564941,14.894584655761719,13.554654121398926,0.023029735935350838,0.03166212527086195,0.031183486498992805,0.028378191373712017
8,24.7,-24.53,4.0,7.271158695220947,5.951157569885254,6.225927352905273,6.56815767288208,0.010325689295848352,0.0187699313769144,0.016071747856155862,0.01695518884408068
9,29.56,-23.67,48.0,41.674556732177734,39.98602294921875,38.04392623901367,22.78765106201172,0.08623683824525782,0.07487254183032567,0.06834974819350713,0.04094031205466838
10,25.98,-32.71,4.5,22.357934951782227,19.257253646850586,15.39292049407959,17.884885787963867,0.008535767875516825,0.042409365094292786,0.029197865836388698,0.03392471857026431
11,34.7,-4.6,25.0,34.87227249145508,34.53275680541992,30.942365646362305,32.94844436645508,0.037775572123972666,0.052692801785111563,0.04675462260641973,0.04978585346150898
12,30.84,13.37,6.0,9.265653610229492,9.532336235046387,8.38276195526123,10.07370376586914,0.02026388044168206,0.03129301616195503,0.028311214338749086,0.03402205478608243
13,33.57,-13.6,114.0,90.55852508544922,99.2375259399414,95.33890533447266,75.25341796875,0.1381846070537071,0.1097701245990884,0.11556464184714635,0.0912181051882465
15,31.3,27.26,1.5,2.0467138290405273,0.6515453457832336,1.9984066486358643,0.5337701439857483,0.07512520768281027,0.10250653431596629,0.10008714300898543,0.026733061947875253
16,2.5,13.5,20.0,24.73775291442871,22.235736846923828,22.47385025024414,23.887569427490234,0.035313019937014994,0.043678238093208595,0.03968097609741804,0.04217711077198962
17,29.81,-0.66,104.0,110.33683013916016,110.61544036865234,102.07669067382812,73.0684814453125,0.10276273485346389,0.1090241771169442,0.10086230671570817,0.07219920177797975
18,26.65,-22.42,4.0,7.045475959777832,7.1851806640625,6.918697357177734,7.7712297439575195,0.009823182543056036,0.017302249113902643,0.016990906774929062,0.019084552089730332
19,35.7,-5.99,16.0,26.173660278320312,25.61553382873535,23.857080459594727,24.058223724365234,0.028812561868989006,0.04713313788168775,0.042961475422220105,0.04332369121976577
20,30.75,-20.75,22.0,20.995283126831055,21.757352828979492,21.773874282836914,23.554698944091797,0.04024905553012511,0.03841092347466008,0.03983535795981209,0.04309338117255136
21,11.0,13.25,44.0,15.007204055786133,17.000429153442383,19.260112762451172,27.161090850830078,0.12111313723673131,0.04130839918972856,0.0530148336407652,0.0747628391753616
22,25.67,-25.15,18.0,15.12320327758789,14.589997291564941,14.894584655761719,13.554654121398926,0.037685022439665004,0.03166212527086195,0.031183486498992805,0.028378191373712017
24,-9.02,30.44,14.0,10.986588478088379,9.594988822937012,11.109127044677734,12.837300300598145,0.07280164897948108,0.057131554133128676,0.05776876911250632,0.06675547359488093
25,25.0,-18.88,8.0,18.634382247924805,16.475482940673828,15.676078796386719,13.680534362792969,0.01454316264958269,0.033875356488258346,0.028497470455440814,0.024869779546412906
26,29.97,27.74,1.3,1.049395203590393,0.4637416899204254,1.0999855995178223,0.2652496099472046,0.1164526708365279,0.0940037494008794,0.09853558534274597,0.023760788858999408
27,32.79,2.05,200.0,161.76248168945312,165.38861083984375,167.84181213378906,125.8155517578125,0.15245257816811417,0.12330553692214744,0.12793958492102203,0.09590452619561161
30,28.78,-14.47,80.0,81.21015167236328,79.7711410522461,84.63021087646484,64.94625854492188,0.08717287288874995,0.08849152786263785,0.09221823269102716,0.07076939925920456
31,26.69,-29.57,13.0,26.95290756225586,24.853986740112305,22.248178482055664,21.494342803955078,0.02228214869755297,0.04619759185642961,0.038133632398989425,0.03684154942414651
32,30.7,-0.08,17.0,80.9274673461914,79.83697509765625,57.606868743896484,65.90019226074219,0.01494382852639611,0.07113918794688263,0.05063924520302334,0.057929480764768664
33,24.93,-24.03,5.0,7.037901878356934,6.173010349273682,5.805285930633545,5.875546455383301,0.013225996821841265,0.018616653575115896,0.015356138653687816,0.015541991749096049
34,33.8,15.9,0.6,4.574084281921387,5.280325889587402,3.494860887527466,4.640235424041748,0.0036502270711324626,0.027827410452518228,0.021261726369157966,0.028229854935441685
35,-16.31,15.99,10.8,11.191567420959473,12.7110595703125,10.94374942779541,10.525376319885254,0.0329127804700247,0.03410607422606663,0.03335085392925822,0.03207587038710925
36,2.06,13.26,13.0,24.452035903930664,22.04114532470703,20.955074310302734,25.68266487121582,0.023415125821739845,0.04404211517601821,0.03774351550612668,0.04625867918439203
37,-0.68,14.19,136.0,29.797319412231445,39.13277053833008,42.389156341552734,45.22488021850586,0.29459759491636484,0.06454572524851539,0.09182164344672948,0.09796427163788611
38,25.02,-24.1,11.0,7.10331916809082,7.027551651000977,6.374998569488525,6.4374003410339355,0.027192273698612174,0.01755958172612034,0.015759155084526643,0.015913413816448556
39,-1.28,10.2,82.0,87.14354705810547,89.54838562011719,82.83550262451172,80.82125854492188,0.08203253838764336,0.08717812645462736,0.08286837254762183,0.08085332919663357
41,10.5,33.3,2.0,3.1600027084350586,2.9986724853515625,2.758641004562378,3.6074435710906982,0.011396877066427257,0.018007081198805768,0.015719946199701407,0.020556795451897012
42,33.58,1.74,147.0,125.24614715576172,123.11547088623047,121.10224914550781,114.90534210205078,0.11586389320884108,0.09871772938009504,0.09545155144452777,0.09056721283290722
43,10.45,12.81,14.0,34.75682830810547,41.56612777709961,43.6434326171875,40.44362258911133,0.02893797588824446,0.07184230425227203,0.09021090005402811,0.0835968982369259
44,1.75,9.75,147.0,124.28820037841797,121.69071960449219,148.24636840820312,117.9888687133789,0.1262532254377437,0.10674684477297867,0.12732368823787535,0.1013365662640447
45,22.58,-32.35,11.8,13.20943546295166,11.351962089538574,12.470194816589355,9.415141105651855,0.046837786901370186,0.05243226468653661,0.04949799385067655,0.037371557012953596
46,19.33,-33.16,48.0,77.76811218261719,81.07278442382812,85.83675384521484,63.013389587402344,0.05709074955665693,0.09249666283566248,0.10209342951111604,0.07494753424271752
47,20.5,-19.6,11.5,7.650087833404541,8.496768951416016,7.896390914916992,11.663054466247559,0.027230320827444164,0.018114290961889816,0.018697500694965657,0.027616409995119703
48,15.3,-4.5,420.0,234.33587646484375,263.80877685546875,271.2619323730469,183.13038635253906,0.2786519384694515,0.15547177673777768,0.17997062687790183,0.12149913607093951
49,43.1,11.45,5.0,2.1656923294067383,1.881587266921997,2.3037383556365967,8.597537994384766,0.028738935048961786,0.012447938238171,0.013241397394488437,0.04941681720032099
51,-0.33,5.83,125.0,114.80805206298828,115.40586853027344,116.75379943847656,95.17832946777344,0.12763393698784742,0.1172272294616396,0.11921397664497833,0.09718387924718701
52,-0.86,10.79,71.0,81.80889892578125,78.55170440673828,81.3331298828125,80.61161041259766,0.07329032138303403,0.0844478942853895,0.08395677786196305,0.0832119835822988
53,-3.02,16.7,25.0,4.943698883056641,6.866675853729248,6.302912712097168,7.3513994216918945,0.1533836402698226,0.030331301243243344,0.03867054784337616,0.04510337617506286
54,17.7,-19.7,20.0,18.121776580810547,18.003463745117188,22.7222900390625,24.92485809326172,0.03819077524237423,0.03460423481951283,0.04338909359369374,0.04759498266939153
55,19.8,-25.8,4.5,4.923262596130371,4.925105571746826,4.908475399017334,5.428418159484863,0.02442377940231466,0.026721039908345588,0.026640782299397286,0.02946277502906161
56,19.58,-29.75,3.0,3.198638439178467,3.107327938079834,3.0280096530914307,3.208807945251465,0.021898342684373358,0.023348293554846397,0.02210279767832888,0.023422525331152175
57,17.79,-30.29,0.62,2.758819103240967,2.41709303855896,1.8110260963439941,3.1521387100219727,0.003961745651850853,0.017628612236303177,0.01157229800416007,0.02014189004590372
58,26.5,-26.0,54.0,33.2898063659668,33.2448844909668,37.12532424926758,28.81509017944336,0.0967909597703726,0.05966948719873677,0.06654436603468326,0.051648893228484455
59,31.26,-28.27,92.0,91.5965576171875,92.54835510253906,92.54611206054688,62.79619598388672,0.11226905329015145,0.11177672617737447,0.1129354824643681,0.076631189927541
60,18.48,-32.2,3.5,5.197299957275391,4.451537609100342,5.123301029205322,8.077180862426758,0.016318283947939962,0.02423171899012459,0.023886708841527285,0.03765878023198469
61,23.5,-27.44,9.0,15.648659706115723,16.674280166625977,14.920258522033691,14.33288288116455,0.021212239907459397,0.03688256932403553,0.035165789250077135,0.03378139447119781
62,22.83,-27.24,29.0,15.042745590209961,17.119646072387695,17.0966739654541,12.795856475830078,0.09007702986938013,0.046724339442994096,0.05310405556735388,0.039745267102677485
63,19.24,-33.28,156.0,77.76811218261719,81.07278442382812,85.83675384521484,63.013389587402344,0.18554493605913502,0.09249666283566248,0.10209342951111604,0.07494753424271752
64,20.53,-33.65,13.0,14.618114471435547,14.462363243103027,14.186358451843262,14.422247886657715,0.0309391207074916,0.03479012370366724,0.03376257358010172,0.034323974479897594
65,10.34,12.68,130.0,34.75682830810547,41.56612777709961,43.6434326171875,40.44362258911133,0.2687097761051271,0.07184230425227203,0.09021090005402811,0.0835968982369259
66,30.7,-18.42,95.0,78.84302520751953,81.22746276855469,83.94818115234375,53.895999908447266,0.12841886887376514,0.10657823279721484,0.11347926807993594,0.07285540363224575
