"ID","Long","Lat","LTA_P_mmpa","LTA_PET_mm","Aridity","NDVI","SM10_m3m3","Obs_LTA_recharge_mmpa","LMM","RF","RF (zeros)","RK_RF","RK_RF (zeros)","QRF_lower_quant_05","QRF_median","QRF_upper_quant_95"
1,4.48,8.49,1234.74,1265,0.98,0.55,0.32,253,144.89,184.19,184.8,201.98,180.42,51,160,491
2,30.09,-20.27,555.88,1386.03,0.4,0.42,0.21,22,26.09,21.48,22.06,21.56,17.71,8,22,54
3,32.96,0.46,1376.72,1337.44,1.03,0.69,0.31,245,131.36,147.4,170.86,161.27,160.83,32,160,491
4,39.82,13.54,518.2,1590.61,0.33,0.27,0.23,185,63.43,42.32,54.99,60.66,72.05,9,37,185
5,2.3,6.5,1344.58,1298.69,1.04,0.59,0.33,120,108.79,176.97,178.95,179.57,172.43,63,160,491
6,34.45,2.45,958.5,1632,0.59,0.42,0.25,30,57.52,81.68,81.53,71.66,83.62,20,60,221
7,25.69,-25.12,477.64,1393.1,0.35,0.37,0.21,11,11.62,14.5,14.59,14.89,12.52,4.5,15,48.1
8,24.7,-24.53,387.38,1390.98,0.28,0.3,0.2,4,5.71,7.2,5.95,6.23,4.94,1.4,8,26
9,29.56,-23.67,556.61,1307.83,0.43,0.38,0.21,48,21.87,38.88,39.99,38.04,30.89,8.6,41,148
10,25.98,-32.71,527.19,1481.32,0.36,0.43,0.23,4.5,16.43,20.56,19.26,15.39,16,4.5,19.4,130
11,34.7,-4.6,661.8,1370.44,0.48,0.39,0.22,25,33.78,34.42,34.53,30.94,31.34,12,30,149
12,30.84,13.37,296.09,1905.68,0.16,0.19,0.18,6,9.92,9.26,9.53,8.38,12.28,1.5,10,44
13,33.57,-13.6,824.98,1347.79,0.61,0.46,0.26,114,76.36,89.79,99.24,95.34,83.14,32,92,221
14,32.8,26,20.39,2204.82,0.01,0.19,0.14,0.1,0.38,0.41,0.36,2.18,0.47,0.1,0.1,7.5
15,31.3,27.26,19.97,2155.09,0.01,0.2,0.14,1.5,0.6,0.56,0.65,2,0.79,0.1,0.62,9.05
16,2.5,13.5,566.36,2256.13,0.25,0.18,0.21,20,25.71,23.95,22.24,22.47,19.39,4.5,20,136
17,29.81,-0.66,1012.04,1122.7,0.9,0.41,0.29,104,74.95,109.17,110.62,102.08,100.86,17,104,253
18,26.65,-22.42,407.2,1374.7,0.3,0.39,0.2,4,7.25,7.14,7.19,6.92,6.02,1.4,8,28
19,35.7,-5.99,555.31,1395.1,0.4,0.38,0.21,16,25.11,26.83,25.62,23.86,22.55,8,22,54
20,30.75,-20.75,546.6,1358.14,0.41,0.43,0.21,22,22.37,21.12,21.76,21.77,16.91,4.5,22,60
21,11,13.25,363.3,2477.46,0.15,0.24,0.19,44,27.34,13.82,17,19.26,12.76,1.4,14,130
22,25.67,-25.15,477.64,1393.1,0.35,0.37,0.21,18,11.62,14.5,14.59,14.89,12.52,4.5,15,48.1
23,29.89,26.22,31.54,2190.05,0.01,0.11,0.14,0.1,0.31,0.25,0.16,1.25,0.21,0.1,0.1,2
24,-9.02,30.44,192.3,1301.14,0.15,0.25,0.21,14,18.23,10.35,9.59,11.11,10.38,1,14,95
25,25,-18.88,550.09,1439.1,0.38,0.44,0.2,8,16.23,18.71,16.48,15.68,13.79,4.5,20,54.05
26,29.97,27.74,11.16,2057.8,0.01,0.11,0.15,1.3,0.23,0.36,0.46,1.1,0.58,0.1,0.36,2
27,32.79,2.05,1311.88,1469.7,0.89,0.63,0.33,200,122.54,160.89,165.39,167.84,168.37,51,149,491
28,21,28.25,7.06,1922.7,0,0.12,0.17,0.1,0.45,0.33,0.33,1.06,0.38,0.1,0.2,2
29,22.52,22.69,4,2284.19,0,0.1,0.14,0.1,0.05,0.24,0.14,1.36,0.18,0.1,0.1,2
30,28.78,-14.47,917.72,1366.46,0.67,0.51,0.24,80,71.85,82.93,79.77,84.63,64.53,19.4,80,184
31,26.69,-29.57,583.43,1459.83,0.4,0.33,0.23,13,21.32,25.62,24.85,22.25,18.95,4.5,22,167
32,30.7,-0.08,1137.59,1129.53,1.01,0.69,0.28,17,66.7,79.68,79.84,57.61,74.07,17,104,491
33,24.93,-24.03,378.04,1360.61,0.28,0.32,0.2,5,4.66,7.05,6.17,5.81,5.27,1.4,6.6,28
34,33.8,15.9,164.37,2095.46,0.08,0.13,0.18,0.6,3.65,4.57,5.28,3.49,7.44,0.1,1.5,25
35,-16.31,15.99,328.14,1888.1,0.17,0.23,0.19,10.8,10.05,11.32,12.71,10.94,10.6,3,10.8,44
36,2.06,13.26,555.2,2259.8,0.25,0.24,0.21,13,25.71,23.87,22.04,20.96,19.12,8,20,136
37,-0.68,14.19,461.65,2114.93,0.22,0.21,0.2,136,36.8,29.47,39.13,42.39,37.73,5,24,136
38,25.02,-24.1,404.53,1346.46,0.3,0.32,0.2,11,6.96,7.16,7.03,6.37,6.06,3.2,8,22
39,-1.28,10.2,999.6,1456.95,0.69,0.45,0.27,82,81.82,87.89,89.55,82.84,80.55,32,92,200
40,23,24,2,2188.64,0,0.1,0.14,0.1,0.13,0.22,0.13,1.25,0.17,0.1,0.1,2
41,10.5,33.3,175.49,1538.89,0.11,0.13,0.21,2,4.09,3.23,3,2.76,3.58,0.2,2,29
42,33.58,1.74,1268.73,1619.56,0.78,0.57,0.32,147,120.2,125.06,123.12,121.1,124.2,32,147,266
43,10.45,12.81,483.79,2344.88,0.21,0.26,0.2,14,40.63,33.52,41.57,43.64,31.63,3,20,136
44,1.75,9.75,1164.33,1401.18,0.83,0.55,0.3,147,105.79,122.74,121.69,148.25,110.37,32,147,266
45,22.58,-32.35,251.93,1533.29,0.16,0.15,0.2,11.8,8.59,12.22,11.35,12.47,8.88,2,11.8,55
46,19.33,-33.16,840.77,1479.7,0.57,0.27,0.25,48,47.67,76.74,81.07,85.84,66.13,20,71,221
47,20.5,-19.6,422.32,1378.16,0.31,0.36,0.19,11.5,10.8,7.58,8.5,7.9,7.34,1.4,9,28
48,15.3,-4.5,1507.26,1045.84,1.44,0.61,0.35,420,181.84,232.33,263.81,271.26,227.54,87,245,941
49,43.1,11.45,173.98,1833.68,0.1,0.13,0.17,5,8.8,1.85,1.88,2.3,2.57,0.36,3.6,25
50,29,26,27.42,2126.98,0.01,0.1,0.14,0.1,0.24,0.27,0.2,1.21,0.26,0.1,0.1,2
51,-0.33,5.83,979.36,1258.27,0.78,0.73,0.34,125,100.76,114.08,115.41,116.75,108.11,17,120,491
52,-0.86,10.79,968.75,1487.92,0.65,0.42,0.26,71,83.01,81.49,78.55,81.33,72.32,30,80,184
53,-3.02,16.7,162.99,2082.25,0.08,0.16,0.18,25,6.46,5.03,6.87,6.3,5.88,0.6,5,25
54,17.7,-19.7,523.69,1465.17,0.36,0.42,0.2,20,23.97,18.11,18,22.72,15.54,4.5,20,54
55,19.8,-25.8,184.25,1787.02,0.1,0.2,0.18,4.5,4.89,4.99,4.93,4.91,4.23,0.62,4.5,25
56,19.58,-29.75,137,1699.47,0.08,0.14,0.19,3,3.16,3.35,3.11,3.03,2.68,0.6,3.55,25
57,17.79,-30.29,156.5,1470.32,0.11,0.23,0.2,0.62,3.25,2.92,2.42,1.81,2.04,0.5,3,26
58,26.5,-26,557.9,1441.69,0.39,0.38,0.23,54,25.55,31.77,33.24,37.13,27.81,8,28,156
59,31.26,-28.27,819.46,1281.05,0.64,0.5,0.25,92,62.52,91.96,92.55,92.55,69.51,37,92,235
60,18.48,-32.2,214.48,1474.61,0.15,0.29,0.2,3.5,7.94,5.29,4.45,5.12,3.72,0.5,4.5,44
61,23.5,-27.44,424.28,1588.19,0.27,0.3,0.21,9,12.62,15.98,16.67,14.92,13.34,4,11.8,55
62,22.83,-27.24,321.95,1629.61,0.2,0.26,0.2,29,11.29,15.04,17.12,17.1,14.09,2,20,130
63,19.24,-33.28,840.77,1479.7,0.57,0.39,0.25,156,47.67,76.74,81.07,85.84,66.13,30,80,221
64,20.53,-33.65,420.18,1339.34,0.31,0.25,0.23,13,10.73,14.44,14.46,14.19,12.69,4,13,136
65,10.34,12.68,483.79,2344.88,0.21,0.3,0.2,130,40.63,33.52,41.57,43.64,31.63,7.5,25,136
66,30.7,-18.42,739.77,1294.85,0.57,0.43,0.22,95,60.39,79.47,81.23,83.95,64.68,17,80,198
67,28.23,-19.83,592.22,1511.97,0.39,0.44,0.21,22,21.33,28.59,26.95,26.48,20.67,8,22,60
68,1.31,6.48,1048.09,1265.96,0.83,0.59,0.33,63,101.71,99.7,96.88,88.52,90.59,32,120,266
69,38.84,8.94,1086.89,1197.67,0.91,0.44,0.28,198,128.98,113.99,110.5,128.66,144.21,32,147.5,266
70,-0.86,10.33,1023.55,1475.06,0.69,0.43,0.27,130,81.82,89.52,96.18,88.39,86.33,30,94,200
71,-0.85,9.43,1115.43,1424.3,0.78,0.44,0.29,32,77.7,82.44,74.17,68.93,67.55,30,71,221.68
72,19.31,-19.9,372.17,1421.65,0.26,0.34,0.2,1.4,10.77,5.65,4.68,4.32,4.16,0.5,4,44
73,10.31,6.44,1961.96,1144.88,1.71,0.65,0.37,941,269.99,252.28,277.25,327.78,227.22,87,251,941
74,10.44,5.99,2039,1055.56,1.93,0.62,0.37,251,266.31,236.1,255.75,281.6,222.87,87,251,941
75,11.55,3.8,1662.83,1033.48,1.61,0.73,0.38,87,164.95,173.63,195.53,147.75,169.26,17,160,941
76,14.34,10.6,737.01,1996.23,0.37,0.34,0.23,77,63.15,49.25,54,56.72,40.98,11,52,221
77,5.43,30.47,10.13,1814.61,0.01,0.1,0.17,2,0.53,0.5,0.69,1.2,0.78,0.1,0.6,3
78,-0.54,10.3,1023.55,1475.06,0.69,0.43,0.27,94,80.34,89.52,96.18,88.39,86.33,30,92,200
79,39.46,13.51,547.56,1625.1,0.34,0.27,0.24,37,75.36,51.75,64.03,71.63,87.71,9,43,185
80,-3.61,14.35,499.98,1909.65,0.26,0.23,0.2,20,28.11,21.45,20.43,20.19,17.51,7.5,20,136
81,18.5,-24.2,201.38,1708.12,0.12,0.21,0.18,24,7.85,7.08,7.21,7.91,6.21,0.62,7.5,29
82,-17.29,14.77,512.09,1858.85,0.28,0.33,0.19,22,-3.4028230607371E+038,15.14,15.78,14.46,14.22,3.5,15,77
83,16.79,-17.47,549.68,1491.25,0.37,0.39,0.2,43,26.8,22.65,21.78,24.01,18.63,8,22,60
84,-7.8,31.43,378.08,1509.55,0.25,0.26,0.23,50.6,23.14,23.12,24.01,26.73,26.69,4.5,26,185
85,18.6,-33.52,605.75,1436.71,0.42,0.43,0.25,60,29.01,56.9,56.92,65.57,48.7,13,60,184
86,18.91,-34.13,615.94,1167.08,0.53,0.49,0.26,184,72.59,100.98,104.94,114.37,87.01,19.4,104,253
87,-3.01,16.75,162.99,2082.25,0.08,0.16,0.18,3.6,6.46,5.03,6.87,6.3,5.88,0.6,5,25
88,30.3,-23.15,721.25,1365.49,0.53,0.53,0.23,19.4,27.08,42.71,37.75,34.4,30.3,15,48,149
89,11.03,37.04,571.24,1900,0.26,0.39,0.24,12,-3.4028230607371E+038,-9999,-9999,-3.39999995214436E+038,-9999,6.6,22,167.81
