Recharge_mmpa,LTA_CHIRPS_mmpa,LTA_PET_mm,Aridity,NDVI,Landcover_ext,DEM,SM10_m3m3,Lat,Long,ID
253,1195.39058760674,1667.14285714286,0.696642857142857,0.530349096655846,130,313,0.328156682352225,8.49,4.48,1
22,527.596522788278,2043.86666666667,0.278093333333333,0.431902608275413,30,984,0.204713119701906,-20.27,30.09,2
245,1358.88730336118,1595.73333333333,0.85418,0.744346588850021,30,1132,0.316578553782569,0.46,32.96,3
185,484.17924117996,2195.6,0.285713333333333,0.302729434437222,130,1618,0.231081488728523,13.54,39.82,4
120,1153.03719137185,1572.6,0.732073333333333,0.626168712973595,30,35,0.316964155435562,6.5,2.3,5
30,717.908621701201,1985,0.38204,0.408579766750336,200,1196,0.250020166238149,2.45,34.45,6
11,457.726738002258,2223.44444444444,0.210344444444444,0.372707811494668,140,1199,0.207098975777626,-25.12,25.69,7
4,415.076318057999,2610.11111111111,0.137755555555556,0.296011272072792,30,1185,0.201331582665443,-24.53,24.7,8
48,471.368437825847,1909.6,0.356246666666667,0.364085314174493,30,1163,0.20857265049761,-23.67,29.56,9
4.5,443.122206139192,1831.9375,0.2720625,0.450334686499376,30,746,0.228567014519985,-32.71,25.98,10
25,697.327345782691,1908.13333333333,0.36168,0.398549774289131,140,1478,0.222582841912905,-4.6,34.7,11
6,306.290058412505,2920.35714285714,0.0957,0.185776719450951,110,475,0.184299065172672,13.37,30.84,12
114,868.537828546845,1756.85714285714,0.492221428571429,0.45854165405035,130,1168,0.256243899464607,-13.6,33.57,13
0.1,0.598900657525696,2923.41176470588,8.82352941176471E-05,0.2235001928427,200,78,0.141155853867531,26,32.8,14
1.5,2.3591084258656,2791.35294117647,0.000382352941176,0.251796550303698,200,107,0.144532298048337,27.26,31.3,15
20,450.154196033128,2960.57142857143,0.154492857142857,0.179403051733971,140,255,0.202768089870612,13.5,2.5,16
104,1063.21874223296,1472.5,0.701864285714286,0.599146644274394,30,1064,0.285666075348854,-0.66,29.81,17
4,422.03377481045,2179.73333333333,0.19358,0.387923089166482,130,1140,0.197545969486237,-22.42,26.65,18
16,615.525359656534,2004.25,0.28504375,0.381210541725159,140,1123,0.211657382547855,-5.99,35.7,19
22,541.550243449211,1966.46666666667,0.33496,0.444242014126344,50,721,0.203881536920865,-20.75,30.75,20
44,331.872268463272,2881.14285714286,0.108242857142857,0.214253697130415,140,343,0.188425398121277,13.25,11,21
18,456.726083243461,2217.4375,0.212225,0.364429181272333,140,1199,0.207819379866123,-25.15,25.67,22
0.1,0.274365462641411,2821.64705882353,0.000629411764706,0.112875413149595,200,367,0.141939594099919,26.22,29.89,23
14,216.081321259449,2110.5625,0.109625,0.271859397490819,150,178,0.197582759640434,30.44,-9.02,24
8,516.357556056709,2563.07142857143,0.197792857142857,0.451073633299934,140,1008,0.206573920945326,-18.88,25,25
1.3,1.93399672044404,2675.23529411765,0.000741176470588,0.109230276197195,200,103,0.14619577974081,27.74,29.97,26
200,1335.11842591587,1871.33333333333,0.721906666666667,0.646378801928626,30,1077,0.340130338072777,2.05,32.79,27
0.1,34.395391426842,2779.76470588235,0.002858823529412,0.120776057920673,200,155,0.165961428234975,28.25,21,28
0.1,0.13691513762202,3448.625,0.000275,0.096201612190767,200,525,0.140250874062379,22.69,22.52,29
80,901.329737129892,2019.625,0.43549375,0.485265597701073,130,1107,0.247555284202099,-14.47,28.78,30
13,578.114912195433,1978.8125,0.3014625,0.328434383869171,140,1556,0.231111836704341,-29.57,26.69,31
17,979.212817194217,1527.0625,0.62868125,0.702224254608154,14,1295,0.274242234726747,-0.08,30.7,32
