ID,Lon,Lat,Observations,RF,RF (zeros),RK RF,LMM
1,4.48,8.49,253,185.723083496094,184.804565429688,202.758224487305,139.130249023438
2,30.09,-20.27,22,21.5782127380371,22.0587158203125,21.4787120819092,25.3975944519043
3,32.96,0.46,245,150.032897949219,170.857620239258,169.138809204102,133.193283081055
4,39.82,13.54,185,42.8223266601563,54.9896240234375,68.0024948120117,63.007080078125
5,2.3,6.5,120,177.442413330078,178.950347900391,189.363494873047,125.447845458984
6,34.45,2.45,30,82.9065322875977,81.5304489135742,65.8190536499023,55.5641670227051
7,25.69,-25.12,11,15.0723962783813,14.5899972915649,15.0347385406494,13.5546541213989
8,24.7,-24.53,4,7.14346790313721,5.95115756988525,6.08545970916748,6.56815767288208
9,29.56,-23.67,48,40.6427307128906,39.9860229492187,42.0186462402344,22.7876510620117
10,25.98,-32.71,4.5,21.0934829711914,19.2572536468506,14.4046401977539,17.8848857879639
11,34.7,-4.6,25,33.6331405639648,34.5327568054199,30.7693786621094,32.9484443664551
12,30.84,13.37,6,9.1087589263916,9.53233623504639,8.10361385345459,10.0737037658691
13,33.57,-13.6,114,90.5334854125977,99.2375259399414,94.6722412109375,75.25341796875
15,31.3,27.26,1.5,2.14657855033875,0.651545345783233,1.90607070922852,0.533770143985748
16,2.5,13.5,20,24.4822254180908,22.2357368469238,22.9241580963135,23.8875694274902
17,29.81,-0.66,104,111.064727783203,110.615440368652,106.934005737305,73.0684814453125
18,26.65,-22.42,4,6.91749048233032,7.1851806640625,7.15529108047485,7.77122974395752
19,35.7,-5.99,16,25.7417583465576,25.6155338287353,23.9253749847412,24.0582237243652
20,30.75,-20.75,22,21.1766395568848,21.7573528289795,21.0644226074219,23.5546989440918
21,11,13.25,44,14.9243459701538,17.0004291534424,18.4749450683594,27.1610908508301
22,25.67,-25.15,18,15.0723962783813,14.5899972915649,15.0347385406494,13.5546541213989
24,-9.02,30.44,14,11.0278148651123,9.59498882293701,11.2535400390625,12.8373003005981
25,25,-18.88,8,18.8512897491455,16.4754829406738,15.5414953231812,13.680534362793
26,29.97,27.74,1.3,1.05289924144745,0.463741689920425,1.09777140617371,0.265249609947205
27,32.79,2.05,200,159.453308105469,165.388610839844,166.775650024414,125.815551757813
30,28.78,-14.47,80,82.3968505859375,79.7711410522461,83.8506088256836,64.9462585449219
31,26.69,-29.57,13,26.5944900512695,24.8539867401123,21.2852535247803,21.4943428039551
32,30.7,-0.08,17,82.2051239013672,79.8369750976562,56.855037689209,65.9001922607422
33,24.93,-24.03,5,7.0008544921875,6.17301034927368,5.83905649185181,5.8755464553833
34,33.8,15.9,0.6,4.59242010116577,5.2803258895874,3.268723487854,4.64023542404175
35,-16.31,15.99,10.8,11.2119445800781,12.7110595703125,10.652491569519,10.5253763198853
36,2.06,13.26,13,24.2752513885498,22.041145324707,20.4956283569336,25.6826648712158
37,-0.68,14.19,136,29.2117576599121,39.1327705383301,41.2762908935547,45.2248802185059
38,25.02,-24.1,11,7.1485390663147,7.02755165100098,6.25952243804932,6.43740034103394
39,-1.28,10.2,82,86.1550979614258,89.5483856201172,86.946174621582,80.8212585449219
41,10.5,33.3,2,3.02721524238586,2.99867248535156,2.81095600128174,3.6074435710907
42,33.58,1.74,147,123.075576782227,123.11547088623,121.414222717285,114.905342102051
43,10.45,12.81,14,33.6494064331055,41.5661277770996,42.0246162414551,40.4436225891113
44,1.75,9.75,147,120.490798950195,121.690719604492,120.743698120117,117.988868713379
45,22.58,-32.35,11.8,12.6301107406616,11.3519620895386,12.6012115478516,9.41514110565186
46,19.33,-33.16,48,76.6870193481445,81.0727844238281,81.6663513183594,63.0133895874023
47,20.5,-19.6,11.5,7.4965877532959,8.49676895141602,8.2699031829834,11.6630544662476
48,15.3,-4.5,420,237.999908447266,263.808776855469,271.277404785156,183.130386352539
49,43.1,11.45,5,2.09893393516541,1.881587266922,2.33593797683716,8.59753799438477
51,-0.33,5.83,125,114.399864196777,115.405868530273,117.75122833252,95.1783294677734
52,-0.86,10.79,71,82.4845275878906,78.5517044067383,80.3701095581055,80.6116104125977
53,-3.02,16.7,25,4.98335313796997,6.86667585372925,6.10551357269287,7.35139942169189
